product_id,product_name,category,supplier_id,quantity,unit_price,reorder_level,discontinued,date_added,last_order_date,warehouse_location
P00041,Attention,Furniture,154,323,373.09,77,1,2024-02-21,2024-07-14,B2
P00042,Sing,Groceries,110,161,329.8,14,1,2024-01-31,2025-04-21,D4
P00043,People,Stationery,162,434,203.36,39,0,2024-08-10,2024-06-29,A1
P00044,Single,Electronics,177,373,43.46,48,1,2024-05-09,2025-02-16,A1
P00045,Everybody,Groceries,125,246,488.78,51,1,2024-07-26,2024-12-24,D4
P00046,Interesting,Clothing,106,395,50.62,94,0,2024-01-23,2025-05-18,A1
P00047,Up,Stationery,159,2,355.56,51,1,2025-04-09,2024-09-14,E5
P00048,Low,Electronics,108,133,53.35,65,0,2024-10-01,2025-02-09,A1
P00049,Realize,Clothing,144,225,165.53,13,0,2024-01-24,2025-04-08,C3
P00050,Better,Clothing,128,69,294.02,63,0,2024-05-31,2024-09-29,D4
P00051,Use,Clothing,191,275,18.65,58,0,2024-08-29,2024-10-23,A1
P00052,Fund,Electronics,177,484,348.82,21,1,2023-10-02,2025-05-02,E5
P00053,Camera,Clothing,120,156,401.43,59,0,2024-12-06,2024-09-02,B2
P00054,Choice,Electronics,176,302,476.44,64,1,2023-07-21,2024-08-07,E5
P00055,On,Furniture,164,402,197.76,19,1,2025-02-04,2025-01-01,A1
P00056,Early,Furniture,192,255,282.72,15,1,2023-09-06,2024-07-05,C3
P00057,Sign,Furniture,145,211,229.94,88,0,2024-06-01,2025-01-26,B2
P00058,Pressure,Furniture,167,413,40.53,20,0,2023-09-11,2025-06-02,A1
P00059,Art,Furniture,144,101,127.07,29,1,2024-07-06,2025-04-24,D4
P00060,Hospital,Groceries,165,466,380.95,64,1,2024-11-10,2025-05-25,A1
P00061,Natural,Clothing,103,163,76.73,46,0,2024-12-26,2025-03-29,D4
P00062,Information,Furniture,198,460,362.78,53,0,2024-09-21,2024-08-03,B2
P00063,With,Stationery,109,42,129.28,56,0,2024-03-08,2024-10-06,C3
P00064,Name,Electronics,164,478,365.95,24,1,2024-12-18,2024-10-17,D4
P00065,Exactly,Clothing,112,174,151.97,41,1,2023-08-04,2024-07-20,A1
P00066,Stuff,Stationery,155,365,433.89,32,1,2024-10-08,2025-02-01,B2
P00067,Court,Electronics,132,183,233.97,62,0,2023-07-23,2025-01-07,D4
P00068,May,Electronics,135,461,174.08,21,0,2025-03-18,2025-05-07,D4
P00069,Teach,Groceries,109,414,363.52,68,1,2024-07-05,2025-05-18,A1
P00070,Left,Clothing,184,315,498.07,53,1,2024-01-11,2024-12-05,C3
P00071,Ready,Electronics,136,402,267.59,77,0,2024-05-16,2025-04-15,C3
P00072,Big,Clothing,179,340,202.64,64,0,2024-08-21,2025-04-11,C3
P00073,Maintain,Clothing,125,164,63.22,97,1,2025-05-04,2024-07-11,B2
P00074,Election,Furniture,183,426,397.47,57,1,2024-08-29,2024-08-27,C3
P00075,Bit,Electronics,188,238,172.11,14,1,2025-01-27,2024-10-08,D4
P00076,Kitchen,Furniture,188,238,439.33,91,0,2024-04-07,2025-01-17,E5
P00077,Water,Stationery,136,378,119.74,87,1,2025-06-09,2024-10-27,D4
P00078,Value,Groceries,135,10,192.85,28,0,2024-01-11,2024-11-03,C3
P00079,Stock,Clothing,127,387,97.09,47,0,2025-01-08,2025-02-21,C3
P00080,Stop,Groceries,177,192,488.95,44,1,2024-01-27,2025-04-26,E5
P00081,Four,Groceries,109,374,474.2,56,0,2024-09-16,2025-06-02,D4
P00082,Field,Electronics,103,291,224.51,20,1,2025-03-03,2025-03-18,C3
P00083,Toward,Electronics,123,189,51.8,56,1,2024-11-17,2024-12-07,B2
P00084,East,Clothing,185,215,122.35,34,1,2024-07-11,2025-01-16,C3
P00085,Meet,Furniture,125,418,357.37,63,0,2025-06-22,2024-08-27,E5
P00086,Peace,Clothing,181,313,122.11,59,1,2025-06-20,2024-08-29,D4
P00087,Media,Stationery,195,300,379.2,93,1,2023-08-27,2024-11-04,B2
P00088,Traditional,Clothing,133,65,318.36,99,1,2025-05-02,2025-01-28,D4
P00089,Money,Electronics,153,313,424.1,96,1,2025-02-08,2024-07-05,B2
P00090,Speech,Clothing,122,478,39.28,77,1,2024-11-06,2024-11-21,D4
P00091,Happy,Furniture,108,334,381.03,83,0,2025-01-01,2024-12-21,E5
P00092,Dog,Clothing,115,310,35.86,83,1,2023-11-01,2024-11-14,D4
P00093,Training,Electronics,154,424,376.69,85,1,2024-06-12,2025-03-30,E5
P00094,Pm,Stationery,170,298,224.01,18,0,2025-02-25,2025-02-12,C3
P00095,Each,Clothing,193,37,299.35,32,1,2023-11-07,2024-12-10,A1
P00096,Simply,Groceries,196,133,403.62,24,1,2025-04-29,2025-03-10,B2
P00097,Level,Electronics,127,180,195.31,19,0,2023-12-18,2025-03-18,C3
P00098,Lead,Furniture,159,344,466.76,35,1,2024-03-23,2025-05-25,E5
P00099,Even,Stationery,142,84,50.42,54,1,2025-03-27,2025-01-09,A1
P00100,Large,Furniture,191,473,341.77,35,0,2024-01-13,2024-07-14,A1
P00101,Man,Stationery,164,305,215.65,60,1,2024-08-22,2025-05-13,E5
P00102,Worry,Stationery,174,376,395.09,34,1,2025-02-25,2025-06-23,D4
P00103,Month,Electronics,121,379,33.01,28,1,2024-11-14,2024-08-27,E5
P00104,Recent,Furniture,146,107,234.4,45,0,2023-07-29,2025-04-13,A1
P00105,Turn,Furniture,132,472,249.4,20,1,2023-11-27,2025-02-18,E5
P00106,Push,Furniture,107,168,66.68,85,1,2024-03-03,2024-09-15,B2
P00107,Only,Electronics,123,144,237.36,63,1,2024-03-30,2025-01-31,D4
P00108,President,Furniture,192,255,185.42,51,1,2024-12-08,2024-09-13,D4
P00109,Several,Stationery,176,18,308.06,54,0,2024-08-07,2025-01-16,E5
P00110,Hotel,Furniture,129,172,122.98,79,1,2024-08-07,2024-07-05,D4
P00111,Issue,Stationery,190,495,366.36,96,1,2024-08-01,2024-06-30,C3
P00112,Wind,Electronics,197,2,135.43,30,0,2024-11-03,2024-08-22,B2
P00113,Likely,Electronics,115,83,309.92,40,0,2025-02-08,2024-10-19,E5
P00114,Pattern,Furniture,144,317,195.08,15,1,2025-05-06,2025-05-20,D4
P00115,Spring,Electronics,123,84,78.22,59,1,2024-08-18,2025-06-04,A1
P00116,Statement,Clothing,166,119,349.61,80,1,2023-11-19,2024-12-08,D4
P00117,Great,Groceries,155,107,395.3,10,1,2024-01-21,2025-01-07,B2
P00118,Heart,Stationery,140,297,471.23,25,0,2024-09-26,2025-04-19,B2
P00119,Behavior,Electronics,190,397,25.46,88,0,2024-08-03,2024-11-22,E5
P00120,The,Furniture,119,334,393.52,20,0,2024-01-09,2025-04-08,C3
P00121,Source,Stationery,123,196,264.29,29,0,2024-04-08,2025-02-20,E5
P00122,Soon,Clothing,101,118,55.2,59,0,2023-09-16,2025-06-03,D4
P00123,Door,Stationery,132,241,195.4,18,1,2024-01-03,2024-11-02,C3
P00124,Increase,Clothing,152,251,237.26,97,1,2024-02-28,2024-08-24,E5
P00125,Event,Electronics,167,412,420.52,73,1,2024-01-31,2024-10-27,B2
P00126,Attack,Clothing,145,101,228.95,16,1,2024-10-07,2024-11-02,D4
P00127,Between,Electronics,164,315,241.91,73,0,2024-04-14,2025-02-20,C3
P00128,Debate,Clothing,195,175,475.53,79,0,2023-10-11,2025-05-27,E5
P00129,Authority,Clothing,167,415,61.5,48,0,2023-08-15,2025-01-17,A1
P00130,Middle,Electronics,119,191,315.63,90,0,2024-08-17,2024-06-26,C3
P00131,Successful,Furniture,176,18,441.38,17,0,2025-06-02,2024-07-30,A1
P00132,Account,Groceries,123,481,445.13,94,0,2025-06-23,2025-05-12,D4
P00133,Eight,Groceries,153,353,97.62,19,1,2023-08-23,2025-01-04,D4
P00134,Here,Groceries,128,175,227.89,60,1,2024-11-24,2025-05-11,A1
P00135,Fly,Stationery,123,313,62.14,73,1,2024-07-26,2025-03-05,C3
P00136,Water,Furniture,132,237,463.52,57,1,2025-05-03,2025-01-16,D4
P00137,Employee,Clothing,100,393,166.06,65,0,2024-10-20,2025-06-01,D4
P00138,Off,Groceries,196,47,181.71,31,0,2024-01-21,2025-05-05,A1
P00139,Mention,Electronics,179,431,46.95,10,1,2023-07-21,2025-05-03,A1
P00140,Occur,Groceries,110,89,262.45,84,0,2024-03-01,2025-05-10,D4
P00141,Guy,Stationery,111,467,429.09,41,0,2023-11-29,2025-04-17,B2
P00142,National,Stationery,118,36,337.77,50,0,2024-08-28,2024-10-20,B2
P00143,Country,Electronics,167,214,133.19,17,0,2025-04-01,2024-12-11,D4
P00144,Movie,Clothing,170,139,399.75,67,0,2023-07-16,2024-09-28,E5
P00145,Rather,Groceries,119,38,106.8,66,1,2025-02-21,2025-05-18,D4
P00146,Certainly,Electronics,160,274,10.43,45,1,2025-03-19,2025-05-05,A1
P00147,Shoulder,Stationery,101,140,158.63,11,0,2024-11-22,2025-02-08,A1
P00148,Environmental,Stationery,180,129,97.61,64,1,2024-05-10,2024-06-26,C3
P00149,Few,Stationery,129,336,234.92,40,0,2024-06-10,2025-04-04,C3
P00150,Choice,Electronics,169,17,24.53,81,1,2024-04-27,2024-12-08,A1
P00151,Voice,Furniture,185,444,207.02,38,1,2024-09-04,2025-05-16,D4
P00152,Rock,Furniture,174,362,80.6,84,0,2024-10-07,2024-06-29,A1
P00153,Imagine,Groceries,130,320,302.12,61,0,2024-03-16,2024-10-26,B2
P00154,Spend,Groceries,191,424,484.99,68,1,2024-05-07,2025-03-15,B2
P00155,Beyond,Clothing,162,290,68.27,47,0,2023-06-28,2024-11-27,A1
P00156,Town,Stationery,174,441,206.27,17,1,2025-02-15,2025-01-29,B2
P00157,Someone,Furniture,176,214,386.84,94,0,2024-04-19,2024-09-11,B2
P00158,Question,Furniture,145,385,136.78,81,0,2025-05-22,2025-03-24,B2
P00159,Home,Stationery,125,183,67.92,58,0,2024-09-29,2024-06-27,B2
P00160,Seek,Furniture,185,489,380.5,52,0,2023-11-04,2025-02-16,A1
P00161,Reality,Clothing,132,4,7.84,69,1,2025-03-11,2024-08-01,C3
P00162,Him,Electronics,170,486,178.58,38,1,2024-02-06,2025-01-02,B2
P00163,Each,Furniture,192,58,223.71,10,0,2025-06-15,2024-08-30,C3
P00164,Spring,Stationery,151,286,62.84,27,0,2023-09-17,2025-05-10,C3
P00165,Alone,Stationery,177,413,429.93,19,0,2024-11-28,2025-02-13,B2
P00166,Live,Electronics,127,346,65.84,84,0,2023-12-03,2024-12-22,C3
P00167,Wear,Furniture,174,121,217.62,100,1,2023-07-18,2024-08-09,C3
P00168,Safe,Groceries,169,416,339.12,60,1,2025-05-31,2024-11-07,D4
P00169,Different,Furniture,171,34,286.49,78,0,2023-11-07,2024-09-05,D4
P00170,Impact,Furniture,110,83,103.49,84,0,2024-02-06,2024-09-24,D4
P00171,Save,Furniture,103,117,334.39,30,0,2025-04-26,2024-09-21,C3
P00172,This,Furniture,193,32,357.94,44,1,2024-02-12,2025-02-22,A1
P00173,Accept,Electronics,131,218,296.43,96,0,2025-04-10,2025-06-18,E5
P00174,Attorney,Stationery,171,149,468.97,29,1,2024-11-10,2025-03-11,B2
P00175,Improve,Stationery,167,281,161.98,26,0,2024-09-08,2025-06-05,A1
P00176,Attention,Furniture,175,320,32.5,90,0,2025-03-09,2025-02-03,A1
P00177,Exist,Clothing,112,159,169.08,23,1,2024-01-26,2025-06-07,A1
P00178,Add,Furniture,171,100,223.47,19,0,2024-09-29,2024-08-16,C3
P00179,Then,Electronics,185,21,483.3,90,1,2024-07-25,2025-05-13,E5
P00180,Every,Clothing,148,215,107.6,69,1,2024-05-03,2025-02-17,E5
P00181,Myself,Clothing,125,114,329.36,65,1,2023-07-19,2025-03-06,B2
P00182,Artist,Electronics,157,289,456.38,52,0,2023-11-16,2024-12-08,C3
P00183,Tv,Clothing,129,293,265.79,53,0,2023-12-13,2025-03-08,D4
P00184,Help,Stationery,156,250,34.0,33,0,2024-04-15,2024-07-17,D4
P00185,Half,Furniture,164,9,342.47,76,0,2025-02-27,2025-04-11,A1
P00186,Central,Furniture,194,379,137.14,50,0,2025-04-19,2025-04-24,E5
P00187,Method,Electronics,119,440,324.33,23,0,2025-05-12,2024-10-23,E5
P00188,Finish,Furniture,196,423,276.14,14,0,2024-04-24,2025-04-08,E5
P00189,Fire,Electronics,170,127,176.18,12,1,2025-03-26,2024-07-10,A1
P00190,Should,Clothing,136,240,189.92,18,1,2024-10-27,2024-07-27,E5
P00191,Where,Electronics,138,390,325.7,31,1,2024-07-24,2024-09-20,C3
P00192,Time,Clothing,125,493,257.89,91,0,2025-04-20,2024-12-26,D4
P00193,Similar,Stationery,146,77,190.9,87,0,2024-11-14,2024-08-05,A1
P00194,Stage,Electronics,191,22,253.88,26,1,2024-03-25,2024-11-22,E5
P00195,Suffer,Clothing,160,85,46.74,37,0,2023-08-19,2025-06-21,B2
P00196,Scene,Clothing,169,76,450.49,11,1,2024-09-29,2024-08-30,D4
P00197,Make,Electronics,158,408,404.65,53,1,2023-07-06,2024-07-27,C3
P00198,Usually,Electronics,198,164,248.49,81,0,2023-06-25,2024-11-23,E5
P00199,Career,Stationery,165,475,81.68,82,0,2024-02-18,2024-07-03,D4
P00200,Between,Stationery,138,280,398.95,95,1,2024-12-03,2025-06-14,A1
P00201,Character,Furniture,166,13,382.67,40,0,2023-07-05,2024-09-16,C3
P00202,Trouble,Groceries,109,7,309.59,39,0,2024-05-23,2025-02-06,B2
P00203,Bar,Stationery,123,92,289.66,85,1,2023-11-13,2025-02-10,A1
P00204,Senior,Electronics,154,328,141.05,57,0,2024-11-08,2024-08-01,C3
P00205,Might,Groceries,122,391,459.09,85,0,2025-05-09,2025-03-17,B2
P00206,Few,Clothing,187,103,419.16,26,0,2023-06-27,2025-01-17,C3
P00207,Across,Stationery,169,243,29.3,76,1,2024-03-03,2025-06-16,E5
P00208,Appear,Groceries,104,357,81.31,87,0,2024-09-06,2025-05-20,A1
P00209,Character,Stationery,124,500,242.71,52,1,2024-06-29,2025-03-23,A1
P00210,Under,Clothing,135,186,391.0,62,1,2024-03-20,2025-05-17,D4
P00211,So,Clothing,123,343,499.78,11,1,2024-07-07,2025-04-23,D4
P00212,Cultural,Stationery,174,427,154.52,81,0,2024-01-22,2025-02-09,C3
P00213,Look,Groceries,110,20,195.18,97,0,2023-07-23,2024-11-27,B2
P00214,A,Groceries,153,458,120.74,98,0,2025-04-12,2024-12-02,C3
P00215,Trip,Stationery,184,350,142.47,62,1,2023-12-23,2024-10-05,A1
P00216,And,Stationery,107,271,496.94,100,1,2024-07-06,2024-11-15,A1
P00217,Quite,Clothing,186,319,467.18,90,0,2025-04-22,2024-11-16,D4
P00218,Decade,Electronics,133,305,100.5,61,0,2024-12-17,2025-01-04,E5
P00219,Major,Clothing,123,10,462.14,56,0,2025-04-15,2024-11-26,D4
P00220,System,Clothing,167,458,78.29,23,1,2023-07-11,2024-06-24,E5
P00221,History,Furniture,138,57,498.17,45,1,2023-08-26,2024-07-23,E5
P00222,Environmental,Groceries,157,102,120.0,98,0,2024-02-22,2024-10-19,A1
P00223,Best,Furniture,124,43,283.5,59,0,2025-06-17,2025-01-30,E5
P00224,Reduce,Furniture,138,341,405.7,98,1,2025-02-13,2025-01-01,B2
P00225,High,Clothing,137,316,109.46,98,0,2025-06-18,2025-04-09,A1
P00226,Season,Furniture,115,359,157.83,93,1,2025-02-09,2025-01-22,B2
P00227,Send,Groceries,178,429,50.31,66,1,2023-10-06,2024-08-27,E5
P00228,Food,Clothing,163,395,334.38,63,0,2024-04-16,2025-01-17,E5
P00229,Game,Electronics,190,226,48.63,40,1,2024-05-22,2025-03-25,B2
P00230,Easy,Furniture,175,154,460.74,26,0,2025-03-25,2024-10-26,D4
P00231,Month,Groceries,119,266,47.64,80,1,2024-11-29,2025-04-10,B2
P00232,Suggest,Stationery,111,432,295.56,50,0,2024-06-23,2024-09-09,A1
P00233,Radio,Stationery,198,49,154.21,24,1,2024-05-21,2024-12-30,A1
P00234,Writer,Groceries,151,195,140.22,69,1,2024-08-12,2024-11-20,C3
P00235,Political,Clothing,133,281,428.55,62,1,2024-07-03,2024-10-11,A1
P00236,Hundred,Groceries,140,409,22.23,23,0,2023-09-23,2024-08-02,E5
P00237,Claim,Groceries,146,91,56.58,52,1,2025-01-05,2024-12-05,A1
P00238,Risk,Clothing,184,370,481.45,59,1,2023-11-25,2025-05-09,B2
P00239,Wide,Clothing,136,411,447.4,36,1,2025-01-05,2024-11-02,E5
P00240,Main,Clothing,122,441,79.49,95,1,2023-07-27,2024-08-18,C3
P00241,Short,Clothing,188,480,481.83,42,1,2024-01-29,2025-04-30,E5
P00242,Draw,Stationery,172,139,435.13,92,1,2024-10-02,2024-07-19,A1
P00243,American,Stationery,137,484,30.06,47,0,2025-02-09,2024-08-23,A1
P00244,Radio,Stationery,193,455,361.25,80,1,2024-08-16,2025-06-02,D4
P00245,Soldier,Stationery,199,117,45.85,71,1,2024-06-26,2025-05-26,B2
P00246,Should,Furniture,181,476,135.84,44,0,2024-02-27,2025-04-29,B2
P00247,Table,Stationery,188,252,173.85,16,1,2025-06-21,2024-07-12,D4
P00248,Share,Stationery,123,231,440.01,65,1,2023-07-10,2024-12-23,B2
P00249,Television,Groceries,113,118,111.93,97,1,2024-11-14,2025-01-10,E5
P00250,Outside,Furniture,134,303,316.33,23,1,2024-01-18,2024-06-27,A1
P00251,Watch,Furniture,115,375,48.04,19,1,2025-04-15,2024-12-07,B2
P00252,Capital,Electronics,164,199,13.73,60,1,2023-11-23,2024-06-27,B2
P00253,Debate,Stationery,114,151,186.39,51,0,2023-08-31,2024-07-17,D4
P00254,Happy,Stationery,130,296,85.95,83,1,2023-12-26,2024-07-02,C3
P00255,History,Clothing,194,454,174.59,76,1,2024-02-21,2025-03-21,B2
P00256,One,Furniture,101,31,462.99,19,0,2025-06-08,2025-03-10,D4
P00257,Treatment,Electronics,118,17,200.63,62,0,2024-10-26,2025-02-24,C3
P00258,Ball,Groceries,192,422,230.88,21,0,2023-08-21,2024-12-22,A1
P00259,Party,Stationery,123,105,452.33,25,1,2024-03-21,2025-02-10,A1
P00260,Fly,Groceries,101,261,101.45,36,0,2024-09-10,2024-08-17,C3
P00261,Second,Groceries,113,32,274.87,56,0,2024-09-29,2025-01-16,D4
P00262,Case,Stationery,168,283,181.02,83,1,2025-05-10,2024-09-21,C3
P00263,Phone,Electronics,121,229,446.39,50,1,2024-12-18,2025-05-01,A1
P00264,Cold,Electronics,158,419,497.93,96,1,2023-12-04,2024-09-09,A1
P00265,Impact,Clothing,169,76,69.23,34,0,2024-03-11,2025-01-16,E5
P00266,Serious,Groceries,192,101,68.59,31,0,2024-11-23,2024-11-10,A1
P00267,Allow,Stationery,110,84,216.04,63,0,2025-02-17,2025-03-16,E5
P00268,Occur,Groceries,149,167,246.49,12,1,2025-03-09,2024-08-14,B2
P00269,Public,Clothing,191,63,329.05,49,0,2023-11-08,2025-04-02,C3
P00270,Have,Stationery,121,127,448.29,11,1,2024-09-27,2024-10-13,C3
P00271,Condition,Electronics,181,84,324.04,26,1,2024-06-26,2025-02-16,D4
P00272,Behind,Electronics,160,357,206.74,15,0,2025-03-23,2024-11-28,B2
P00273,Before,Groceries,175,259,243.12,75,0,2025-06-15,2024-12-08,E5
P00274,Establish,Groceries,189,61,204.68,20,1,2024-05-21,2024-11-19,D4
P00275,Seat,Stationery,196,427,443.51,56,1,2023-12-01,2024-11-02,C3
P00276,Out,Furniture,161,451,392.23,97,1,2024-02-22,2025-04-16,C3
P00277,Care,Groceries,132,276,389.04,82,1,2023-07-12,2024-07-20,D4
P00278,Exactly,Electronics,152,306,28.0,27,0,2024-08-15,2025-05-13,B2
P00279,Mind,Stationery,179,327,101.2,91,0,2024-06-03,2024-08-03,A1
P00280,Institution,Furniture,108,418,330.07,35,0,2024-11-16,2025-06-15,E5
P00281,Next,Clothing,123,342,50.39,93,1,2024-07-26,2025-04-03,A1
P00282,Exist,Clothing,127,462,358.39,10,1,2025-03-03,2025-04-14,A1
P00283,Deal,Stationery,157,451,155.15,64,0,2025-02-28,2024-12-16,B2
P00284,Red,Clothing,119,219,35.47,18,1,2025-01-16,2024-09-03,B2
P00285,Team,Stationery,115,195,456.17,16,1,2025-04-14,2025-04-11,B2
P00286,Them,Stationery,138,385,381.92,23,0,2024-09-18,2025-02-03,E5
P00287,Feel,Stationery,121,377,77.38,24,0,2024-03-27,2025-04-15,B2
P00288,Others,Clothing,163,211,178.73,20,0,2025-03-15,2025-03-30,E5
P00289,Yeah,Clothing,133,420,28.4,11,0,2023-07-03,2025-05-22,D4
P00290,After,Stationery,142,177,252.75,50,0,2023-12-21,2025-03-21,E5
P00291,Think,Electronics,190,202,415.4,80,1,2024-10-14,2024-09-12,E5
P00292,Serious,Clothing,154,257,84.94,86,1,2024-10-05,2024-10-21,B2
P00293,Evidence,Clothing,187,344,319.06,53,0,2025-05-31,2024-08-11,A1
P00294,Teacher,Stationery,172,430,117.65,34,1,2024-05-16,2024-10-23,E5
P00295,Herself,Groceries,134,407,205.16,97,0,2023-12-18,2024-09-24,C3
P00296,Place,Electronics,188,170,72.51,42,1,2025-06-11,2024-10-29,A1
P00297,Machine,Groceries,114,464,6.89,88,1,2024-10-30,2025-05-03,A1
P00298,Less,Groceries,144,347,13.64,71,0,2023-12-07,2024-12-04,D4
P00299,Center,Clothing,169,106,16.68,92,1,2024-12-17,2024-11-01,A1
P00300,Source,Clothing,149,372,301.32,74,1,2023-10-03,2025-01-29,E5
P00301,Unit,Groceries,175,23,240.91,23,1,2025-02-12,2024-07-24,E5
P00302,Individual,Clothing,153,312,214.89,67,0,2023-08-18,2024-09-11,B2
P00303,Remember,Furniture,125,103,177.6,49,1,2025-05-29,2024-08-21,B2
P00304,Letter,Groceries,199,487,382.82,12,1,2025-02-22,2024-10-14,D4
P00305,Could,Electronics,160,307,325.34,21,0,2025-05-23,2024-08-06,B2
P00306,Go,Clothing,105,154,260.65,46,1,2024-01-27,2025-03-26,A1
P00307,Wait,Electronics,105,445,28.2,55,0,2024-10-22,2024-09-18,B2
P00308,Strategy,Groceries,105,435,301.66,10,0,2024-05-13,2025-06-02,A1
P00309,Analysis,Clothing,136,130,441.05,91,1,2024-08-27,2024-11-19,C3
P00310,Occur,Stationery,115,480,328.7,47,1,2024-03-23,2025-03-09,C3
P00311,Reduce,Furniture,178,207,389.87,36,0,2023-09-27,2025-02-15,A1
P00312,Money,Stationery,198,228,287.59,39,1,2025-06-22,2024-12-03,B2
P00313,Bank,Clothing,113,3,278.45,60,1,2023-11-06,2024-08-07,A1
P00314,Could,Groceries,149,468,256.03,93,1,2024-07-07,2025-04-18,C3
P00315,New,Clothing,140,465,163.08,52,0,2023-09-09,2025-02-03,E5
P00316,Prepare,Clothing,142,270,349.82,36,0,2023-10-29,2025-05-07,A1
P00317,Speech,Groceries,144,433,12.41,53,1,2024-05-17,2024-07-12,B2
P00318,City,Electronics,181,248,386.23,56,1,2024-08-03,2024-09-03,B2
P00319,However,Stationery,187,366,216.54,17,0,2024-04-20,2024-06-25,A1
P00320,Ball,Stationery,196,304,352.49,32,0,2023-11-18,2025-01-07,D4
P00321,Whether,Stationery,107,228,119.23,56,0,2024-09-12,2025-06-23,A1
P00322,Buy,Furniture,196,281,432.14,47,1,2025-02-14,2025-01-13,C3
P00323,Few,Clothing,104,112,77.03,47,1,2024-06-13,2025-06-19,D4
P00324,Receive,Clothing,191,400,475.72,18,0,2025-01-11,2025-02-16,A1
P00325,Statement,Electronics,131,296,187.78,75,1,2024-11-25,2024-07-05,D4
P00326,Heart,Electronics,141,343,328.53,31,0,2024-12-22,2025-05-17,B2
P00327,Ball,Stationery,176,56,463.06,49,1,2025-04-27,2024-11-21,D4
P00328,Black,Clothing,174,339,264.07,71,1,2024-01-03,2025-02-22,B2
P00329,Particular,Furniture,185,390,23.86,20,1,2025-04-24,2025-04-15,D4
P00330,Treatment,Furniture,162,356,414.18,38,0,2025-06-06,2024-08-19,A1
P00331,Would,Electronics,182,188,420.01,26,0,2025-02-28,2024-10-28,A1
P00332,Rest,Stationery,189,328,313.53,56,1,2025-03-17,2024-10-06,A1
P00333,Exist,Clothing,156,430,80.65,64,0,2024-12-28,2024-09-22,B2
